Date,TSE
2020/6/23,11534.20 
2020/6/24,11557.27 
2020/6/29,11553.91 
2020/6/30,11618.42 
2020/7/1,11647.86 
2020/7/2,11608.80 
2020/7/3,11563.60 
2020/7/6,11622.64 
2020/7/7,11694.10 
2020/7/8,11857.90 
2020/7/9,11941.84 
2020/7/10,12176.79 
2020/7/13,12086.13 
2020/7/14,12222.90 
2020/7/15,12250.44 
2020/7/16,12109.61 
2020/7/17,12202.89 
2020/7/20,12233.99 
2020/7/21,12173.04 
2020/7/22,12195.72 
2020/7/23,12205.25 
2020/7/24,12242.32 
2020/7/27,12389.76 
2020/7/28,12423.02 
2020/7/29,12467.43 
2020/7/30,12618.69 
2020/7/31,12951.72 
2020/8/3,12530.74 
2020/8/4,12691.86 
2020/8/5,12653.46 
2020/8/6,12642.73 
2020/8/7,12577.88 
2020/8/10,12762.34 
2020/8/11,12894.24 
2020/8/12,12901.43 
2020/8/13,12786.80 
2020/8/14,12856.46 
2020/8/17,12713.63 
2020/8/18,12758.87 
2020/8/19,12709.97 
2020/8/20,12813.94 
2020/8/21,12974.96 
2020/8/24,12904.84 
2020/8/25,12764.75 
2020/8/26,12462.52 
2020/8/27,12629.78 
2020/8/28,12706.40 
2020/8/31,12768.96 
2020/9/1,12888.65 
2020/9/2,12759.30 
2020/9/3,12763.44 
2020/9/4,12617.39 
2020/9/7,12772.43 
2020/9/8,12774.97 
2020/9/9,12645.92 
2020/9/10,12645.93 
2020/9/11,12637.42 
2020/9/14,12592.18 
2020/9/15,12665.74 
2020/9/16,12697.46 
2020/9/17,12680.41 
2020/9/18,12787.42 
2020/9/21,12989.81 
2020/9/22,12920.15 
2020/9/23,12858.60 
2020/9/24,12874.61 
2020/9/25,12786.91 
2020/9/28,12656.30 
2020/9/29,12487.48 
2020/9/30,12312.94 
2020/10/5,12282.36 
2020/10/6,12488.10 
2020/10/7,12483.65 
2020/10/8,12567.88 
2020/10/12,12644.09 
2020/10/13,12667.51 
2020/10/14,12832.54 
2020/10/15,12959.15 
2020/10/16,12988.44 
2020/10/19,12927.09 
2020/10/20,12892.29 
2020/10/21,12814.16 
2020/10/22,12803.32 
2020/10/23,12889.99 
2020/10/26,12889.88 
2020/10/27,12854.97 
2020/10/28,12945.12 
2020/10/29,12923.55 
2020/10/30,12867.77 
2020/11/2,12853.76 
2020/11/3,12687.64 
2020/11/4,12651.35 
2020/11/5,12565.32 
2020/11/6,12641.28 
2020/11/9,12766.86 
2020/11/10,12878.01 
2020/11/11,12952.49 
2020/11/12,13053.98 
2020/11/13,13090.65 
2020/11/16,13067.04 
2020/11/17,13324.86 
2020/11/18,13221.80 
2020/11/19,13356.74 
2020/11/20,13723.77 
2020/11/23,13628.42 
2020/11/24,13775.26 
2020/11/25,13702.59 
2020/11/26,13793.55 
2020/11/27,13918.84 
2020/11/30,13860.95 
2020/12/1,13763.79 
2020/12/2,13833.21 
2020/12/3,13917.65 
2020/12/4,13810.55 
2020/12/7,13970.51 
2020/12/8,13988.49 
2020/12/9,14010.17 
2020/12/10,14230.00 
2020/12/11,14251.94 
2020/12/14,14336.69 
2020/12/15,14295.15 
2020/12/16,14298.59 
2020/12/17,14238.92 
2020/12/18,14206.33 
2020/12/21,14145.24 
2020/12/22,14326.16 
2020/12/23,14268.13 
2020/12/24,14273.79 
2020/12/25,14348.11 
2020/12/28,14180.70 
2020/12/29,14256.29 
2020/12/30,14306.98 
2020/12/31,14363.45 
2021/1/4,14500.91 
2021/1/5,14485.97 
2021/1/6,14704.53 
2021/1/7,14720.25 
2021/1/8,14913.64 
2021/1/11,15145.85 
2021/1/12,15059.52 
2021/1/13,15365.13 
2021/1/14,15425.58 
2021/1/15,15549.53 
2021/1/18,15550.16 
2021/1/19,15651.20 
2021/1/20,15987.16 
2021/1/21,15676.45 
2021/1/22,15716.64 
2021/1/25,15934.85 
2021/1/26,15775.73 
2021/1/27,15984.89 
2021/1/28,16006.21 
2021/1/29,15955.16 
2021/2/1,15711.76 
2021/2/2,15519.85 
2021/2/3,15544.36 
2021/2/4,15176.56 
2021/2/5,15546.69 
2021/2/17,15828.64 
2021/2/18,15697.75 
2021/2/19,15805.76 
2021/2/22,16197.45 
2021/2/23,16366.23 
2021/2/24,16376.91 
2021/2/25,16445.87 
2021/2/26,16320.88 
2021/3/2,16329.54 
2021/3/3,16376.80 
2021/3/4,16190.04 
2021/3/5,16127.87 
2021/3/8,15992.32 
2021/3/9,16091.75 
2021/3/10,15759.58 
2021/3/11,15943.37 
2021/3/12,15715.07 
2021/3/15,15921.45 
2021/3/16,15947.21 
2021/3/17,16241.55 
2021/3/18,16256.58 
2021/3/19,16253.93 
2021/3/22,16312.98 
2021/3/23,16264.61 
2021/3/24,16186.46 
2021/3/25,16065.50 
2021/3/26,16250.20 
2021/3/29,15994.96 
2021/3/30,16010.54 
